DATE,NASDAQCOM
5/30/2012,2837.36
5/31/2012,2827.34
6/1/2012,2747.48
6/4/2012,2760.01
6/5/2012,2778.11
6/6/2012,2844.72
6/7/2012,2831.02
6/8/2012,2858.42
6/11/2012,2809.73
6/12/2012,2843.07
6/13/2012,2818.61
6/14/2012,2836.33
6/15/2012,2872.8
6/18/2012,2895.33
6/19/2012,2929.76
6/20/2012,2930.45
6/21/2012,2859.09
6/22/2012,2892.42
6/25/2012,2836.17
6/26/2012,2854.06
6/27/2012,2875.32
6/28/2012,2849.49
6/29/2012,2935.06
7/2/2012,2951.24
7/3/2012,2976.09
7/4/2012,.
7/5/2012,2976.12
7/6/2012,2937.33
7/9/2012,2931.77
7/10/2012,2902.34
7/11/2012,2887.99
7/12/2012,2866.19
7/13/2012,2908.47
7/16/2012,2896.94
7/17/2012,2910.04
7/18/2012,2942.6
7/19/2012,2965.9
7/20/2012,2925.3
7/23/2012,2890.15
7/24/2012,2862.99
7/25/2012,2854.24
7/26/2012,2893.25
7/27/2012,2958.09
7/30/2012,2945.84
7/31/2012,2939.52
8/1/2012,2920.21
8/2/2012,2909.77
8/3/2012,2967.9
8/6/2012,2989.91
8/7/2012,3015.86
8/8/2012,3011.25
8/9/2012,3018.64
8/10/2012,3020.86
8/13/2012,3022.52
8/14/2012,3016.98
8/15/2012,3030.93
8/16/2012,3062.39
8/17/2012,3076.59
8/20/2012,3076.21
8/21/2012,3067.26
8/22/2012,3073.67
8/23/2012,3053.4
8/24/2012,3069.79
8/27/2012,3073.19
8/28/2012,3077.14
8/29/2012,3081.19
8/30/2012,3048.71
8/31/2012,3066.96
9/3/2012,.
9/4/2012,3075.06
9/5/2012,3069.27
9/6/2012,3135.81
9/7/2012,3136.42
9/10/2012,3104.02
9/11/2012,3104.53
9/12/2012,3114.31
9/13/2012,3155.83
9/14/2012,3183.95
9/17/2012,3178.67
9/18/2012,3177.8
9/19/2012,3182.62
9/20/2012,3175.96
9/21/2012,3179.96
9/24/2012,3160.78
9/25/2012,3117.73
9/26/2012,3093.7
9/27/2012,3136.6
9/28/2012,3116.23
10/1/2012,3113.53
10/2/2012,3120.04
